City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
278,lorengau,-2.0226,147.2712,27.04,80,100,2.99,PG,1681843518
279,luanda,-8.8368,13.2343,28.0,83,40,4.12,AO,1681843397
280,mariental,-24.6333,17.9667,26.65,25,97,2.56,NA,1681843519
281,tolanaro,-25.0319,46.9987,24.04,88,20,6.17,MG,1681843519
282,kuhmo,64.1333,29.5167,1.31,88,100,1.62,FI,1681843519
283,prosser,46.2068,-119.7689,12.51,40,100,4.92,US,1681843261
284,pudozh,61.8099,36.5345,0.85,94,95,2.47,RU,1681843519
285,nanakuli,21.3906,-158.1547,25.97,71,75,6.69,US,1681843520
286,carutapera,-1.195,-46.02,27.69,75,62,2.1,BR,1681843520
287,motygino,58.1831,94.7592,-13.68,96,100,1.82,RU,1681843520
288,beaufort west,-32.3567,22.583,25.69,22,94,1.83,ZA,1681843521
289,basoko,1.2391,23.616,23.22,80,77,0.89,CD,1681843521
290,katsuren-haebaru,26.3369,127.8719,23.01,83,0,4.12,JP,1681843521
291,revelstoke,50.9832,-118.2023,5.01,65,100,2.57,CA,1681843268
292,ouadda,8.0777,22.4007,25.19,52,76,0.38,CF,1681843522
293,itamaraca,-7.7478,-34.8256,30.03,72,96,2.86,BR,1681843522
294,zhosaly,45.4878,64.0781,8.31,23,6,2.63,KZ,1681843522
295,mcrae,32.068,-82.9007,26.08,26,0,2.31,US,1681843522
296,usogorsk,63.4106,48.6872,0.6,82,100,2.02,RU,1681843523
297,cururupu,-1.8283,-44.8683,28.1,75,79,2.13,BR,1681843523
298,graaff-reinet,-32.2522,24.5308,23.84,28,8,3.04,ZA,1681843523
299,aioun,16.6614,-9.6149,36.45,14,99,4.74,MR,1681843523
300,al ghayzah,16.2079,52.176,27.59,67,1,3.78,YE,1681843524
301,fort bragg,35.139,-79.006,26.22,23,0,6.17,US,1681843524
302,qaqortoq,60.7167,-46.0333,1.31,84,30,0.97,GL,1681843524
303,ketchikan,55.3422,-131.6461,7.26,53,40,3.6,US,1681843524
304,bandon,51.7469,-8.7425,9.77,90,0,3.61,IE,1681843525
305,zalingei,12.9096,23.4741,28.9,11,17,3.41,SD,1681843525
306,al bardiyah,31.7561,25.0865,16.58,76,68,6.03,LY,1681843276
307,mount pearl,47.5166,-52.7813,6.03,75,75,4.63,CA,1681843312
308,huarmey,-10.0681,-78.1522,27.22,69,85,5.73,PE,1681843526
309,haiku-pauwela,20.9219,-156.3051,25.65,70,0,2.57,US,1681843526
310,mpulungu,-8.7623,31.1141,22.45,83,95,2.48,ZM,1681843526
311,manokwari,-0.8667,134.0833,25.52,82,100,2.1,ID,1681843526
